Statement,Assessment
"Women in our company earn less than men.",2
"Promotions are awarded fairly regardless of gender.",4
"Women have equal access to leadership roles.",3
"Gender bias influences project assignment decisions.",2
"Our recruitment process encourages gender diversity.",4
"Men and women receive equal performance evaluations.",3
"Women feel comfortable voicing their opinions in meetings.",4
"Parental leave policies are equally supportive for all genders.",5
"Female employees are often interrupted during discussions.",2
"Training opportunities are equally available to men and women.",4
"Gender stereotypes affect task distribution.",2
"The company actively monitors pay equity.",4
"Women are represented adequately in senior management.",3
"Harassment or discrimination complaints are taken seriously.",5
"Work-life balance expectations differ between genders.",3
"Women are mentored at the same rate as men.",3
"Male-dominated teams create barriers for women to advance.",2
"Flexible work policies support all genders equally.",4
"Women feel safe in the workplace environment.",5
"Gender equality is an explicit company priority.",4
"Decision-making roles are distributed fairly by gender.",3
"Men are more likely to be assigned strategic responsibilities.",2
"Female employees report fair treatment from supervisors.",4
"Gender-based jokes or remarks occur in the workplace.",2
"Women perceive equal opportunities for career growth.",3
"The company supports returning mothers after maternity leave.",4
"Gender balance is considered when forming teams.",3
"Men and women have equal access to remote work options.",5
"Female employees feel included in informal networking events.",3
"Women receive the same recognition for their achievements as men.",4
"Some managers show unconscious gender bias.",2
"Women are encouraged to apply for leadership positions.",4
"Meetings are facilitated to ensure equal participation.",4
"Men dominate conversations in group discussions.",2
"Company culture supports gender-balanced decision-making.",4
"Female employees feel pressured to prove themselves more than men.",2
"Workshops on gender inclusivity are regularly conducted.",5
"All genders have equal access to mentoring programs.",4
"Women’s ideas are taken seriously by colleagues.",4
"Male employees rarely take parental leave.",3
"Female staff feel they must adapt to a male-centered culture.",2
"Internal communication promotes gender inclusivity.",4
"Women feel they can report discrimination without fear.",5
"Recruiters avoid gender-coded language in job ads.",4
"Women have equal access to high-visibility assignments.",3
"Men occupy the majority of technical roles.",2
"Supervisors are trained to identify gender bias.",4
"Female employees believe their career path is supported.",4
"Women face subtle barriers to advancement.",2
"Leadership communicates a strong commitment to gender equality.",5
"Gender diversity targets are clearly defined.",4
"There is transparency in promotion criteria for all genders.",4
"Women identify fewer role models in senior positions.",3
"All genders participate equally in training programs.",4
"Feedback is delivered fairly to both men and women.",4
"Women feel excluded from influential professional networks.",2
"Gender equality performance is reviewed annually.",5
"Female employees believe their workload is comparable to men.",4
"Women report that expectations for overtime differ by gender.",3
"Gender-related grievances are resolved promptly.",5
"Women are equally considered for high-impact projects.",4
"Gender influences who speaks first in meetings.",2
"Women feel supported when returning from extended leave.",4
"Men are more often chosen as project leads.",2
"Female employees feel empowered to challenge unfair treatment.",4
"Gender inclusivity training is mandatory for managers.",5
"Women perceive subtle gendered expectations in communication style.",3
"Men and women receive similar feedback quality.",4
"Networking events are scheduled to accommodate all genders.",4
"Senior leaders promote gender-balanced workplaces.",5
"Women feel their contributions are undervalued.",2
"Gender equality goals are communicated clearly.",4
"Men are more likely to negotiate salaries successfully.",3
"Women feel encouraged to take on stretch assignments.",4
"Gender influences conference participation opportunities.",2
"The company celebrates achievements of women equally.",4
"Men dominate informal decision-making discussions.",2
"Women feel confident in reporting biased behavior.",5
"All genders feel represented in company values.",4
"Women have equal influence in cross-team collaborations.",4
"Men receive more informal mentoring than women.",3
"Managers challenge gender bias when they encounter it.",4
"Female employees feel they can advance without barriers.",4
"Women report hearing gender-insensitive remarks.",2
"Workload assignments are evenly distributed across genders.",4
"Women are equally encouraged to speak in large meetings.",4
"Gender influences who takes notes or administrative tasks.",2
"The organization tracks gender equality KPIs.",5
"Women perceive transparency in salary bands.",4
"Men feel equally responsible for caregiving duties.",3
"Women’s performance is evaluated objectively.",4
"Meetings are structured to prevent gender imbalance.",4
"Female employees feel pressured to match male behavior norms.",2
"Women are visible in key client-facing roles.",3
"Gender has no impact on who is chosen for travel assignments.",5
"Women feel confident negotiating promotions.",3
"There is a safe channel for reporting gender-related issues.",5
"Women are encouraged to participate in strategic planning.",4
"Gender balance is considered in leadership pipelines.",4
"Men show awareness of gender equality issues.",3
"Women’s concerns are addressed promptly by leadership.",4
"The company actively reduces gender-based workload disparities.",4
"Gender does not influence expectations for availability.",3
"Women feel welcome during onboarding.",5
"Female employees find equal access to internal mobility programs.",4
"Men dominate high-visibility tasks.",2
"Women feel supported by their peers.",4
"Gender affects perceptions of assertiveness.",2
"Women’s leadership style is equally respected.",4
"The company measures employee perceptions on gender equality.",5
"Female staff feel equally included in decision processes.",4
"Women feel their expertise is recognized.",4
"Gender does not influence the level of trust from managers.",4
"Women report that their ideas are sometimes overlooked.",3
"Female professionals feel encouraged to innovate.",4
"Men and women have equal opportunities for industry certifications.",5
"Gender impacts who volunteers for extra responsibility.",3
"Women are expected to handle emotional labor.",2
"Female employees feel supported during conflicts.",4
"Gender equality topics are discussed openly at work.",4
"Women perceive meetings as inclusive spaces.",4
"Men frequently interrupt women during discussions.",2
"Women receive equal support in cross-functional assignments.",4
"Female employees feel able to influence team culture.",4
"Gender balance is reflected in company branding.",3
"Women feel free to decline unreasonable requests.",4
"Gender-based assumptions affect leadership potential evaluations.",2
"Women receive equal acknowledgment during presentations.",4
"Male and female employees are equally considered for bonuses.",4
"Gender norms influence professional expectations.",3
"Female employees feel protected against retaliation.",5
"Women feel encouraged to pursue technical roles.",3
"Men and women equally participate in brainstorming sessions.",4
"Women observe fairness in dispute resolution.",4
Statement,Score
"Women in our company earn less than men.",2
"Men are more likely to be promoted than women.",3
"Women feel excluded from important decision-making meetings.",4
"Parental leave policies favor men over women.",2
"Female employees receive fewer leadership opportunities.",3
"Men dominate senior management positions.",4
"Women are discouraged from applying for technical roles.",3
